Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Industrial/Organizational psychology is best defined as the field that:,Studies mental disorders in workplace settings,Applies psychological principles to understand and improve behavior at work,Focuses only on personnel selection and testing,Deals primarily with labor law and compensation disputes,2,"I/O psychology studies behavior in work settings and applies psychological principles to improve work outcomes, employee functioning, and organizational effectiveness.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which activity is most clearly within the traditional industrial side of I/O psychology?,Studying group cohesion in project teams,Designing a selection battery for call center applicants,Examining organizational culture,Analyzing political behavior in organizations,2,"The industrial side focuses on staffing, selection, training, and performance measurement. Designing a selection battery fits this area directly.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement best reflects the scientist-practitioner model in I/O psychology?,Practice is more important than research because work settings change quickly,Research and practice should inform one another in solving workplace problems,Scientific work should be limited to universities,Practitioners should avoid theory because it complicates decisions,2,The scientist-practitioner model holds that sound practice should be grounded in research and research should address real workplace problems.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which early contributor is most strongly associated with scientific management?,Hugo Munsterberg,Walter Dill Scott,Frederick W. Taylor,Elton Mayo,3,Taylor is associated with scientific management and time-and-motion studies aimed at increasing efficiency.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"A company increases productivity after changing lighting levels, but productivity also increases when lighting is later reduced. This finding is most closely associated with:",Goal-setting theory,The Hawthorne effect,Equity theory,Expectancy theory,2,"The Hawthorne effect refers to behavior change resulting from attention or awareness of being studied, not necessarily from the work condition itself.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which historical development most directly increased the emphasis on fairness in employee selection?,Human relations movement,Civil rights legislation,Time-and-motion studies,Trait theory of leadership,2,"Civil rights laws sharply increased attention to fair, job-related, and legally defensible selection systems.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"In a validation study, an organization finds that a cognitive ability test predicts training success. This evidence primarily supports the test’s:",Reliability,Content validity,Criterion-related validity,Face validity,3,"If a test predicts an important outcome such as training success, that is criterion-related validity.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which research design provides the strongest basis for causal inference?,Case study,Correlational study,Experimental design,Archival survey,3,"Because experiments involve manipulation and control, they provide the strongest basis for causal claims.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
An I/O psychologist examines the relationship between job satisfaction and absenteeism without manipulating either variable. This is an example of:,Experimental research,Correlational research,Meta-analysis,Action research,2,The researcher is measuring naturally occurring variables and examining their relationship without manipulation.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A researcher combines results from many studies on the relationship between structured interviews and job performance. This is:,Test-retest design,Quasi-experiment,Meta-analysis,Cross-validation,3,Meta-analysis statistically summarizes findings across multiple studies.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement about reliability is most accurate?,A test can be valid even if it is completely unreliable,Reliability refers to consistency of measurement,Reliability guarantees fairness,Reliability and validity are the same concept,2,Reliability concerns whether a measure yields stable and consistent results.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"When a test appears job-related to applicants, it is high in:",Predictive validity,Internal consistency,Face validity,Differential validity,3,Face validity reflects whether a test appears relevant and acceptable to test takers.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
