Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"During a case conference, a psychometrician describes a client's ""test results"" as a subset of the broader ""assessment process."" According to the semantic distinction that emerged after World War II, what is the primary difference between the two?",Testing is more inclusive and involves the integration of multiple data sources.,Assessment is the process of measuring variables to obtain a sample of behavior.,Assessment is a problem-solving process that involves the gathering and integration of psychology-related data.,"Testing is always collaborative, while assessment is always conducted by a single evaluator.",3,Psychological assessment is defined as the gathering and integration of data for evaluation. Testing is the more limited process of measuring variables to get a sample of behavior. •,Medium,Psychological Assessment,Chapter 1,special
"A school psychologist is asked, ""Can this child function in a regular classroom?"" This specific inquiry, which initiates the assessment process, is known as a:",Referral question,Clinical hypothesis,Evaluative mandate,Diagnostic criterion,1,"The process begins with a referral for assessment from a source like a teacher or judge, often involving a specific ""referral question"". •",Medium,Psychological Assessment,Chapter 1,special
"In a ""collaborative psychological assessment,"" how are the assessor and the assessee characterized?",Subject and observer,Expert and novice,Partners,Patient and clinician,3,"In collaborative psychological assessment, the assessor and assessee work as ""partners"". •",Medium,Psychological Assessment,Chapter 1,special
"Which approach to assessment is characterized by an ""evaluation > intervention > evaluation"" model and is often used in educational settings to measure the interactive nature of learning?",Static assessment,Remote assessment,Dynamic assessment,Retrospective assessment,3,"Dynamic assessment follows an ""evaluation > intervention > evaluation"" model and focuses on the interactive nature of the process. •",Medium,Psychological Assessment,Chapter 1,special
A psychometrician uses a device to measure a specific sample of a student’s behavior to determine their math proficiency. This specific device or procedure is defined as a:,Portfolio,Test,Behavioral observation,Case study,2,A test is a measuring device or procedure designed to obtain a sample of behavior. •,Medium,Psychological Assessment,Chapter 1,special
Which tool of assessment involves a reciprocal exchange of information and allows the assessor to note both verbal and nonverbal behaviors?,Psychological autopsy,Role-play test,Interview,Behavioral observation,3,"An interview is a method of gathering information through direct communication involving reciprocal exchange, where verbal and nonverbal behaviors are noted. •",Medium,Psychological Assessment,Chapter 1,special
"A job applicant submits a collection of their past architectural designs and blueprints as part of the hiring process. In assessment terms, this collection is a:",Case history,Portfolio,Naturalistic observation,CAPA,2,A portfolio is a collection of work products used as samples of ability and accomplishment. •,Medium,Psychological Assessment,Chapter 1,special
"If a researcher observes children’s play behavior in a public park without intervening, what specific variety of assessment is being used?",Role-play testing,Naturalistic observation,Clinical observation,Remote assessment,2,Naturalistic observation occurs when behavior is monitored in the setting where it would typically occur. •,Medium,Psychological Assessment,Chapter 1,special
"In the acronym CAPA, the word ""assisted"" refers to the assistance provided to whom?",The testtaker,The test developer,The test user,The test publisher,3,"In CAPA (Computer-Assisted Psychological Assessment), ""assisted"" refers to the help provided to the test user (the professional). •",Medium,Psychological Assessment,Chapter 1,special
A computer program that tailors the difficulty of the next question based on the testtaker's previous response is an example of:,Computer-Assisted Psychological Assessment (CAPA),Computer Adaptive Testing (CAT),Online Unregulated Testing,Automated Scoring System,2,Computer Adaptive Testing (CAT) tailors the test to the testtaker's ability or pattern. •,Medium,Psychological Assessment,Chapter 1,special
"According to the Cohen text, who is the party responsible for the ""technical quality"" and the ""responsible development"" of a test?",The test user,The testtaker,The test developer,The society at large,3,Test developers and publishers are responsible for creating tests and ensuring their technical quality and ethical development. •,Medium,Psychological Assessment,Chapter 1,special
"A ""psychological autopsy"" is best described as:",A physical examination of a deceased person's brain.,A reconstruction of a deceased individual's psychological profile using archival data.,A test administered to individuals who have attempted suicide.,A clinical interview conducted during a funeral.,2,A psychological autopsy is a reconstruction of a deceased person's profile based on archival records and interviews. •,Medium,Psychological Assessment,Chapter 1,special
"In clinical settings, what is the ""hallmark"" of testing compared to other settings?",It is always conducted in groups.,It is employed with only one individual at a time.,It only uses projective tests.,It is exclusively used for hiring decisions.,2,The hallmark of clinical testing is that it is typically employed with only one individual at a time. •,Medium,Psychological Assessment,Chapter 1,special
A student is given a test to evaluate how much they have learned in their Algebra class after a semester of instruction. This is an example of an:,Intelligence test,Achievement test,Aptitude test,Interest inventory,2,Achievement tests evaluate accomplishment or the degree of learning that has taken place. •,Medium,Psychological Assessment,Chapter 1,special
"What is the primary objective of assessment in ""geriatric settings""?",To determine if the individual is fit for work.,To evaluate the quality of life and cognitive/adaptive functioning.,To screen for recruits during wartime.,To assign the individual to a specific grade level.,2,"In geriatric settings, assessment evaluates cognitive/adaptive functioning to ensure quality of life. •",Medium,Psychological Assessment,Chapter 1,special
A psychometrician ensures that the testing room is well-ventilated and free from distractions like excessive noise or glaring sunlight. This responsibility falls under which phase of assessment?,Test conceptualization,Before the test administration,During the test scoring,After the test interpretation,2,"Ensuring the environment is suitable is a responsibility test users have ""before"" the test is administered. •",Medium,Psychological Assessment,Chapter 1,special
"Adaptation of a test or procedure to make it suitable for an assessee with exceptional needs (e.g., a person with a visual impairment) is known as:",Alternate assessment,Standardized protocol,Accommodation,Role-play,3,Accommodation is the adaptation of a test or procedure to make it suitable for an assessee with exceptional needs. •,Medium,Psychological Assessment,Chapter 1,special
"Which reference source is most likely to contain ""highly critical reviews"" of a test?",A publisher's test catalogue,A test manual,The Mental Measurements Yearbook,The test protocol,3,"The Mental Measurements Yearbook (Buros) provides authoritative, independent, and often critical reviews of tests. •",Medium,Psychological Assessment,Chapter 1,special
Which organization is the world's largest private measurement institution and is responsible for the GRE and SAT?,Buros Institute,Educational Testing Service (ETS),American Psychological Association (APA),Psychological Corporation,2,Educational Testing Service (ETS) is the world's largest private measurement institution. •,Medium,Psychological Assessment,Chapter 1,special
Historical records indicate that civil service testing for government jobs first emerged in which country?,Ancient Greece,United States,China,Germany,3,China is believed to have started civil service testing as early as 2200 b.c.e.. •,Medium,Psychological Assessment,Chapter 2,special
"Who is credited with kindling interest in research on ""individual differences"" and pioneering the use of the ""coefficient of correlation""?",Wilhelm Wundt,Francis Galton,Charles Darwin,Karl Pearson,2,Francis Galton focused on individual differences and pioneered the concept of the coefficient of correlation. •,Medium,Psychological Assessment,Chapter 2,special
"In contrast to Galton, Wilhelm Wundt focused his research on:",How people were different.,How people were similar.,The heritability of intelligence.,The development of the 16PF.,2,"Unlike Galton, Wundt focused on how people were similar, viewing individual differences as error. •",Medium,Psychological Assessment,Chapter 2,special
"Which student of Wundt coined the term ""mental test"" in 1890?",James McKeen Cattell,Lightner Witmer,Emil Kraepelin,Victor Henri,1,"James McKeen Cattell coined the term ""mental test"" in an 1890 publication. •",Medium,Psychological Assessment,Chapter 2,special
"Who is considered the ""founder of clinical psychology"" for establishing the first psychological clinic in 1896?",Alfred Binet,Robert Woodworth,Lightner Witmer,Sigmund Freud,3,Lightner Witmer is cited as the founder of clinical psychology for establishing the first psychological clinic. •,Medium,Psychological Assessment,Chapter 2,special
"The ""Woodworth Psychoneurotic Inventory"" is significant in history because it was:",The first intelligence test for children.,The first widely used self-report personality test.,A disguised test for military strategy.,A measure of sensory-motor skills.,2,The Woodworth Psychoneurotic Inventory was the first widely used self-report test of personality. •,Medium,Psychological Assessment,Chapter 2,special
"During WWI, the US Military used ""Army Beta"" specifically for:",Literate recruits,Illiterate recruits,Officers only,Recruits with physical disabilities,2,Army Beta was developed for illiterate recruits during WWI. •,Medium,Psychological Assessment,Chapter 2,special
A test that can be adequately administered and interpreted using only the manual and a general orientation is classified as:,Level A,Level B,Level C,Level D,1,Level A tests can be administered and interpreted with the aid of the manual and a general orientation. •,Medium,Psychological Assessment,Chapter 2,special
"Under the Code of Ethics and RA 10029, which of the following is a ""Level B"" requirement for a test user?",A doctorate in psychology.,Technical knowledge of test construction and supporting psychological studies.,No formal training required other than reading the manual.,Only a licensed physician can administer it.,2,"Level B tests require technical knowledge of test construction, use, and supporting psychological studies. •",Medium,Psychological Assessment,Chapter 2,special
"""Informed Consent"" for psychological testing should generally specify all the following EXCEPT:",The general purpose of the testing.,The specific reason it is being undertaken.,The exact correct answers to the test items.,The general type of instruments to be administered.,3,"Consent should include the purpose, reasons, and type of instruments, but never the correct answers, as this compromises test security. •",Medium,Psychological Assessment,Chapter 2,special
"Which term refers to a ""legal and ethical duty"" to keep client communications private, specifically protecting clients from disclosure in ""judicial proceedings""?",Confidentiality,Privilege,Professionalism,Discretion,2,"Privilege protects clients from disclosure in ""judicial proceedings"" and belongs to the client. •",Medium,Psychological Assessment,Chapter 2,special
"If a psychometrician is ordered by a court to disclose confidential test records, and the client has not waived their privilege, what is the general ethical priority?","Always refuse, even if it leads to jail.",Disclose immediately to avoid legal trouble.,Inform the court of the ethical duty to maintain confidentiality and only disclose if legally mandated.,Delete the records so they cannot be subpoenaed.,3,Psychologists have an ethical duty to keep communications confidential but must recognize that privilege is not absolute and court orders can mandate disclosure. •,Medium,Psychological Assessment,Chapter 2,special
"In the Philippines, the ""Psychology Act of 2009"" is also known as:",RA 9258,RA 10029,RA 7160,RA 10173,2,The Psychology Act of 2009 in the Philippines is RA 10029. •,Medium,Psychological Assessment,Chapter 2,special
"Which ethical principle dictates that psychologists use ""deception"" in research only when absolutely necessary and requires a full debriefing afterward?",Right to privacy,Right to be informed of results,Ethical use of deception,Minimal stress principle,3,Ethical guidelines state that deception is only used if necessary and requires full debriefing afterward. •,Medium,Psychological Assessment,Chapter 2,special
"A test that yields a numerical score representing an ""approximation"" of a trait because it uses a continuous scale (where a score of 0 does not mean the total absence of the trait) is most likely an:",Nominal scale,Ordinal scale,Interval scale,Ratio scale,3,"Interval scales (like IQ) have no absolute zero, so a score is an approximation and 0 doesn't mean ""no intelligence"". •",Medium,Psychological Assessment,Chapter 2,special
"""A distinguishable, relatively enduring way in which one individual varies from another"" is the definition of a:",State,Trait,Type,Construct,2,"A trait is defined as a distinguishable, relatively enduring way in which individuals vary. •",Medium,Psychological Assessment,Chapter 2,special
"According to the Cohen text, a ""construct"" is:",An observable physical organ.,"An informed, scientific concept developed to describe or explain behavior.",A raw score that has not been converted.,A test that lacks reliability.,2,"A construct is an informed, scientific concept developed to describe or explain behavior. •",Medium,Psychological Assessment,Chapter 2,special
"A ""Good Test"" must primarily be ""psychometrically sound,"" which refers to:",Being inexpensive and quick to score.,Having clear instructions for the testtaker.,Reliability and validity.,Being available in multiple languages.,3,Psychometric soundness refers to the key aspects of reliability and validity. •,Medium,Psychological Assessment,Chapter 2,special
"""Error variance"" in testing refers to:",The mistakes made by the test developer.,The component of a test score attributable to sources other than the trait being measured.,The total score achieved by the testtaker.,The percentage of items the testtaker got wrong.,2,Error refers to all factors on a test score beyond those specifically measured by the test. •,Medium,Psychological Assessment,Chapter 2,special
"If a psychometrician is assessing a client from a different cultural background and chooses a ""culture-specific"" test, they are attempting to:",Isolate the cultural variable to ensure fairness.,Discriminate against the client.,Increase the difficulty of the test.,Skip the informed consent process.,1,"Early developers used culture-specific tests to ""isolate"" the cultural variable in mental ability tests. •",Medium,Psychological Assessment,Chapter 2,special
Which of the following is NOT a right of a testtaker according to ethical standards?,The right to be informed of test findings.,The right to the least distressing items.,The right to keep the test protocol (the actual test booklet) after the exam.,The right to informed consent.,3,"Testtakers have the right to findings and consent, but not to keep the test protocols (booklets/manuals), as this violates test security. •",Medium,Psychological Assessment,Chapter 2,special
"An industrial-organizational psychometrician is reviewing the performance scores of 500 applicants. If the distribution of scores is significantly positively skewed, what does this imply about the test difficulty?",The test was likely too easy for the group.,The test was likely too difficult for the group.,The mean score is lower than the median score.,The majority of applicants scored above the average.,3,"In a positively skewed distribution, the ""tail"" points toward the higher scores (right side), meaning the majority of examinees clustered at the lower (left) end. This statistically indicates that the test was difficult for the group. •",Medium,Psychological Assessment,Chapter 3,special
"Which of the following scales of measurement is the only one that possesses a ""true zero"" point, allowing for the statement that one score is twice as large as another?",Nominal,Ordinal,Interval,Ratio,3,"Ratio scales possess all the properties of nominal, ordinal, and interval scales, plus an absolute ""true zero"" (absence of the trait). This allows for statements of proportionality (e.g., ""twice as much""). •",Medium,Psychological Assessment,Chapter 3,special
"A researcher finds that the correlation between ""Hours of Study"" and ""Test Anxiety"" is $r = -0.75$. How should this be interpreted?",Increased study hours cause a decrease in anxiety.,There is a strong inverse relationship between study hours and anxiety.,75% of the variance in anxiety is explained by study hours.,There is a weak relationship because the coefficient is negative.,3,"A correlation coefficient ($r$) of $-0.75$ represents a strong inverse relationship. The closer the number is to $1.0$ (regardless of sign), the stronger the relationship. •",Medium,Psychological Assessment,Chapter 3,special
"When a distribution of scores is perfectly symmetrical and unimodal, which of the following statements is TRUE?","The mean, median, and mode are all equal.",The standard deviation must be 1.0.,The range is equal to the variance.,The distribution is leptokurtic.,3,"In a Perfect Normal Curve (Symmetrical and Unimodal), the Mean, Median, and Mode are all located at the exact same point in the center. •",Medium,Psychological Assessment,Chapter 3,special
"A psychometrician is calculating the ""average"" of a set of scores that contains several extreme outliers. Which measure of central tendency should be reported to provide the most accurate representation of the data?",Mean,Median,Mode,Harmonic Mean,3,The Median is the preferred measure of central tendency when a distribution is skewed or contains outliers because it is not affected by extreme values at the ends. •,Medium,Psychological Assessment,Chapter 3,special
"In a normal distribution, approximately what percentage of scores fall between the mean and +1 standard deviation?",13.5%,34.1%,68.2%,95.4%,3,"In a normal distribution, the area between the Mean ($Z=0$) and $+1$ Standard Deviation ($Z=1$) contains approximately 34.1% of the cases. •",Medium,Psychological Assessment,Chapter 3,special
A student receives a Z-score of +2.00 on a personality assessment. What is the equivalent T-score for this student?,60,70,80,40,3,Using the formula $T = 10(Z) + 50$. Given $Z = +2.00$: $10(2) + 50 = 70$. •,Medium,Psychological Assessment,Chapter 3,special
Which property of the standard deviation makes it a more useful measure of variability than the variance in clinical reporting?,It is always a positive number.,It is expressed in the same units as the original raw scores.,It is the square of the variance.,It is less sensitive to outliers than the range.,3,"Standard Deviation is the square root of the variance. This math returns the value to the original units of the raw scores, making it interpretable for clinicians and clients. •",Medium,Psychological Assessment,Chapter 3,special
"A distribution that is very ""peaked"" with thin tails is described as:",Platykurtic,Mesokurtic,Leptokurtic,Negatively skewed,3,"Leptokurtic distributions are characterized by a high peak and ""fat"" or ""thin"" tails, indicating scores are tightly clustered around the mean. •",Medium,Psychological Assessment,Chapter 3,special
Which of the following is an example of an ordinal scale?,License plate numbers,Temperature in Celsius,Ranking of Miss Universe finalists,Weight in kilograms,3,"Ordinal scales provide a rank order. Miss Universe finalists (1st, 2nd, 3rd) show who is better but not by exactly ""how much."" •",Medium,Psychological Assessment,Chapter 3,special
"Under the Code of Ethics and R.A. 11036 (Mental Health Act), who is primarily responsible for the selection, administration, and interpretation of psychological tests?",The client’s immediate family,The HR Manager (non-psychologist),The Licensed Psychologist or Psychometrician under supervision,The test publisher,3,"Under R.A. 10029 (Psychology Act), Psychometricians are authorized to administer and score objective tests. Interpretation must be done under the supervision of a Licensed Psychologist. •",Medium,Psychological Assessment,Chapter 3,special
"If a Psychometrician is asked to administer a Level C test (e.g., individual intelligence tests), what is the ethical requirement according to PRC standards?",They can do it independently as long as they are licensed.,They must be under the direct supervision of a licensed psychologist.,They are strictly prohibited from touching Level C materials.,They only need the verbal permission of the client.,3,"Level C tests (Projectives, Individual Intelligence Tests) require advanced training. A Psychometrician may assist but requires direct supervision by a Licensed Psychologist. •",Medium,Psychological Assessment,Chapter 3,special
A raw score of 85 falls at the 75th percentile. What does this mean?,The student got 75% of the items correct.,75% of the norm group scored at or below 85.,85% of the norm group scored at or below 75.,The score is 1.5 standard deviations above the mean.,3,A Percentile Rank indicates the percentage of people in the norm group who scored at or below a specific raw score. •,Medium,Psychological Assessment,Chapter 3,special
